,cant_carga,total_trips,demanda,latitude,longitude
418,15,3,45,-12.0233808763452,-76.9861732103552
419,0,0,0,-12.2276285,-76.9740302
420,0,0,0,-12.2305189,-76.9754112
421,0,0,0,-12.225954,-76.971784
422,0,0,0,-12.2265733,-76.9711879
423,4,1,4,-12.2361517,-76.961844
424,0,0,0,-12.2365133,-76.9612404
425,0,0,0,-12.2358861,-76.9608995
426,0,0,0,-12.2382188,-76.9564767
427,0,0,0,-12.2384055,-76.955978
428,0,0,0,-12.2390702,-76.9547923
429,8,1,8,-12.2253381,-76.9730975
430,0,0,0,-12.2272556,-76.9739136
431,0,0,0,-12.2273956,-76.9738733
432,90,2,180,-12.2276129,-76.9740993
433,20,8,160,-12.2300474,-76.975334
434,0,0,0,-12.230703,-76.9754662
435,0,0,0,-12.2273057,-76.9695267
436,0,0,0,-12.2282181,-76.969255
437,0,0,0,-12.2342969,-76.9619656
438,0,0,0,-12.2363922,-76.9605577
439,10,7,70,-12.237469,-76.9576031
440,10,3,30,-12.2383396,-76.9561046
441,0,0,0,-12.2381581,-76.9543745
442,70,7,490,-12.0250021247305,-76.998718679023
443,3,1,3,-12.2182451,-76.944125
444,6,2,12,-12.2179632,-76.9437134
445,0,0,0,-12.216733,-76.9419967
446,0,0,0,-12.2151308,-76.9392397
447,0,0,0,-12.2146782,-76.9385501
448,0,0,0,-12.2156501,-76.9350667
449,0,0,0,-12.2166763,-76.9349354
450,0,0,0,-12.2115067,-76.9388686
451,2,1,2,-12.0109694,-76.9780258
452,60,3,180,-12.0105127,-76.978773
453,5,1,5,-12.0111117,-76.9790913
454,28,1,28,-12.0117046,-76.9792947
455,400,3,1200,-12.0122214,-76.979663
456,0,0,0,-12.0122999,-76.9797935
457,0,0,0,-12.0134659,-76.9813393
458,0,0,0,-12.0127647,-76.9816704
459,0,0,0,-12.0114801,-76.9806338
460,0,0,0,-12.0121403,-76.9812723
461,4,1,4,-12.0120413,-76.9817448
462,0,0,0,-12.0112731,-76.9819845
463,0,0,0,-12.2125308,-76.9412375
464,20,1,20,-12.2133189,-76.9425769
465,0,0,0,-12.2135028,-76.9432817
466,0,0,0,-12.0113282,-76.9824596
467,20,3,60,-12.0114835,-76.9827027
468,500,1,500,-12.0104184,-76.981411
469,0,0,0,-12.0098264,-76.9798749
470,50,6,300,-12.2117884,-76.9443781
471,0,0,0,-12.211653,-76.9444357
472,0,0,0,-12.2124232,-76.9464456
473,0,0,0,-12.2186369,-76.9444391
474,0,0,0,-12.2187066,-76.9437734
475,0,0,0,-12.2180499,-76.9434341
476,20,1,20,-12.2173573,-76.9407967
477,0,0,0,-12.2150932,-76.9391898
478,0,0,0,-12.2150964,-76.9389741
479,0,0,0,-12.2148659,-76.937987
480,0,0,0,-12.2145006,-76.9382098
481,0,0,0,-12.2117642,-76.9392962
482,30,2,60,-12.2128509,-76.9414218
483,0,0,0,-12.2129532,-76.9425132
484,0,0,0,-12.2140054,-76.9436027
485,0,0,0,-12.2120591,-76.9451611
486,0,0,0,-12.2114552,-76.9456828
487,5,1,5,-12.2123356,-76.9452283
488,20,1,20,-12.2125413,-76.9471673
489,15,1,15,-12.2139321,-76.9477714
490,0,0,0,-12.2148971,-76.9468354
491,0,0,0,-12.2186537,-76.9449554
